"media","media_original"
"-","-"
"-","Not reported"
"-","Perfluorohexane: PF-5060 (FC-72)"
"-","not reported"
"-","other"
"-","other: unchanged (no vehicle)"
"-","text field not large enough; please see Comments field"
"0.05% DMSO and Corn oil","0.05% DMSO and Corn oil"
"0.05% Tween 80","0.05% Tween 80"
"0.1% carboxymethyl cellulose","0.1% carboxymethyl cellulose"
"0.1% carboxymethyl cellulose, medium viscosity","0.1% carboxymethyl cellulose, medium viscosity"
"0.1% carboxymethylcellulose","0.1% carboxymethylcellulose"
"0.1% carboxymethylcellulose (CMC)","0.1% carboxymethylcellulose (CMC)"
"0.2% DMSO","0.2% DMSO"
"0.2% Tween-20","0.2% Tween-20"
"0.4% methanol in water","0.4% methanol in water"
"0.5% Tween 20","0.5% Tween 20"
"0.5% Tween 20 in deionized water","0.5% Tween 20 in deionized water"
"0.5% Tween 80 in RO Water","0.5% Tween 80 in RO Water"
"0.5% Tween in deionized water","0.5% Tween in deionized water"
"0.5% Tween-20","0.5% Tween-20"
"0.5% Tween-20 in distilled water","0.5% Tween-20 in distilled water"
"0.5% carboxymethylcellulose","0.5% carboxymethylcellulose"
"1% Aqueous carboxymethyl cellulose with 3% Tween","1% Aqueous carboxymethyl cellulose with 3% Tween"
"1/4 mini Nilla wafer cookie vehicle","1/4 mini Nilla wafer cookie vehicle"
"2% Tween 80","2% Tween 80"
"2% Tween 80 in deionized water","2% Tween 80 in deionized water"
"2% Tween-20 in drinking water","2% Tween-20 in drinking water"
"2.5% Tween 20","2.5% Tween 20"
"20% TPGS","20% TPGS"
"97.8%, deionized water containing 2% Tween 80 (pH ~ 7)","97.8%, deionized water containing 2% Tween 80 (pH ~ 7)"
"AIN-93G based diet and cornstarch","AIN-93G based diet and cornstarch"
"Acetone in diet","Acetone in diet"
"Aerosol","Aerosol"
"Aerosol","aerosol"
"Certified Purina Laboratory Chow","Certified Purina Laboratory Chow"
"Certified Rodent Chow1 #5002 (Purina Mills, Inc.)","Certified Rodent Chow1 #5002 (Purina Mills, Inc.)"
"Corn Oil; DMSO (<0.05%)","Corn Oil; DMSO (<0.05%)"
"DMSO (< 0.4%) and corn oil","DMSO (< 0.4%) and corn oil"
"DMSO 0.03%","DMSO 0.03%"
"DMSO and corn oil","DMSO and corn oil"
"Double-distilled water with 0.5% Tween-20","Double-distilled water with 0.5% Tween-20"
"Environmental Exposure","Environmental Exposure"
"Food","Food"
"Gavage","Gavage"
"KPFOS dissolved in acetone and mixed with PMI-NI Rodent Diet","KPFOS dissolved in acetone and mixed with PMI-NI Rodent Diet"
"Mazola corn oil","Mazola corn oil"
"Milli-Q water containing 2% Tween-20","Milli-Q water containing 2% Tween-20"
"Milli-Q water containing 2% tween-20","Milli-Q water containing 2% tween-20"
"NANOpure water","NANOpure water"
"NR","NR"
"PMI Feeds, Inc. Certified Rodent Diet #5002, pair-fed","PMI Feeds, Inc. Certified Rodent Diet #5002, pair-fed"
"Purified water (lot no. A136, Takasugi Pharmaceutical Co., Ltd.)","Purified water (lot no. A136, Takasugi Pharmaceutical Co., Ltd.)"
"RO-H2O","RO-H2O"
"Reverse osmosis de-ionized water","Reverse osmosis de-ionized water"
"Tween 80 in deionized water","Tween 80 in deionized water"
"acetone","acetone"
"acetone","acetone; diet"
"acetone (evaporated); diet","acetone (evaporated); diet"
"aerated dechlorinated water","aerated dechlorinated water"
"air","Air"
"air","Clean air"
"air","Nitrogen and filtered air"
"air","air"
"air","clean air"
"air","compressed filtered air"
"air","filtered air"
"air","not reported, but assumed clean air"
"aqueous carboxymethylcellulose sodium","aqueous carboxymethylcellulose sodium"
"arachis oil","Arachis oil"
"bottled spring water","Bottled spring water"
"carbomethyl cellulose","carbomethyl cellulose"
"carboxymethylcellulose sodium salt","0.5% w/v carboxymethylcellulose sodium salt"
"carboxymthylcellulose, medium viscosity","carboxymthylcellulose, medium viscosity"
"cmc-na","CMC-Na"
"corn oil","Corn oil"
"corn oil","corn oil"
"corn oil with <0.05% DMSO","corn oil with <0.05% DMSO"
"culture","Culture"
"de-ionized water (DI water)","de-ionized water (DI water)"
"deionized water","De-ionized water"
"deionized water","Deionized Water"
"deionized water","Deionized water"
"deionized water","deionized water"
"deionized water containing 0.5% Tween 20","deionized water containing 0.5% Tween 20"
"deionized water with 2% tween 80","Deionized water with 2% Tween 80"
"deionized water with 2% tween 80","Deionized water with 2% tween 80"
"deionized water with 2% tween 80","deionized water with 2% tween 80"
"deionized water with 2% tween 80","deionized water with 2% tween 80)"
"diet","Diet"
"diet","diet"
"diet","mixed with diet"
"dimethyl sulfoxide (DMSO, < 0.4%)","dimethyl sulfoxide (DMSO, < 0.4%)"
"dissolved in anhydrous ethanol, uniformly mixed into feed","dissolved in anhydrous ethanol, uniformly mixed into feed"
"distilled water","Distilled water"
"distilled water","distilled water"
"dmso","DMSO"
"double-distilled water w/ tween20","double-distilled water with 0.5% Tween-20"
"drinking water","Drinking water"
"ethanol","Dissolved in ethanol then added to drinking water"
"ethanol","EtOH"
"fat emulsion","20% fat emulsion (egg lecithin, peanut oil, water)"
"feed","Feed"
"feed","feed"
"filter paper","Filter paper"
"food","food"
"formula","Formula"
"formula or breast milk","Formula or breast milk"
"gelatin capsule","gelatin capsule"
"gelatin capsules","gelatin capsules"
"high performance liquid chromatography-grade water","high performance liquid chromatography-grade water"
"lactose and acetone","lactose and acetone"
"lactose in gelatin capsule; acetone solvent","lactose in gelatin capsule; acetone solvent"
"litter","Litter"
"mammalian pysiological saline","Mammalian pysiological saline"
"media mixture","Media mixture (with comment)"
"methanol","MeOH"
"methylcellulose","methylcellulose"
"milli-q water","Milli-Q water"
"natural soil","Natural soil"
"no vehicle","No substrate"
"no vehicle","no vehicle; chemical mixed with basal diet"
"oil","other oil"
"olive oil","Olive oil"
"olive oil","olive oil"
"orange-flavored juice","Orange-flavored juice"
"peanut oil","Peanut oil"
"phosphate-buffered saline","phosphate-buffered saline (PBS; pH 7.4)"
"polyethylene glycol","polyethylene glycol"
"propylene glycol","propylene glycol"
"propylene glycol","propylene glycol/H2O (1:1, v/v)"
"reverse osmosis purified water","reverse osmosis purified water"
"saline","saline"
"sodium carboxymethylcellulose w/ tween 80","sodium carboxymethylcellulose; Tween 80"
"soil","Soil"
"soil","Unknown soil"
"solvent","Solvent"
"sterile water w/ tween20","sterile water and 0.5% Tween-20"
"supplements","Supplements"
"tap water","tap water"
"tap water","tap water <0.5 mg/L"
"undiluted","undiluted"
"water","Tap water"
"water","Water"
"water","purified water"
"water","water"
"water w/ carboxymethylcellulose","water containing 1% carboxymethylcellulose"
